1 14 15700 2.06e-2 1.02e-4 2.92e-2
2 18 10000 6.71e-3 2.31e-5 9.17e-3
3 23 9160 2.46e-3 1.01e-5 3.01e-3
4 28 8460 8.69e-4 4.08e-6 9.94e-4
5 34 7860 3.41e-4 1.52e-6 3.43e-4
6 45 6880 6.62e-5 3.14e-7 3.26e-5
