1.000000000000000000e+00 1.968738929730880409e+04 5.167363901484926828e+03
2.000000000000000000e+00 3.337249524495313722e+02 5.382641286535348257e+01
3.000000000000000000e+00 3.002405247288112022e+01 8.767859998440714620e+00
4.000000000000000000e+00 6.408717258185069099e+00 1.085446521723131275e+00
5.000000000000000000e+00 1.136165351721907468e+00 1.094386591696625277e-01
6.000000000000000000e+00 6.212883621498035414e-01 3.191472857741731173e-02
7.000000000000000000e+00 1.598341839643591944e-01 1.766513306227449065e-02
8.000000000000000000e+00 1.014549484706127463e-01 7.307557350086187585e-03
9.000000000000000000e+00 3.723731392145269992e-02 2.152683798644063062e-03
1.000000000000000000e+01 2.567703332834265703e-02 1.192292648461430998e-03
1.100000000000000000e+01 9.710396450897501239e-03 5.081857347449325124e-04
1.200000000000000000e+01 8.884850024488783957e-03 3.473327053674973223e-04
1.300000000000000000e+01 4.274866333831097744e-03 2.737327783135700614e-04
1.400000000000000000e+01 2.355815503454988455e-03 2.017031658433980320e-04
1.500000000000000000e+01 1.621854441231706167e-03 9.962940247558120098e-05
1.600000000000000000e+01 1.309490913242967753e-03 5.985746039199130799e-05
1.700000000000000000e+01 8.645416136383506653e-04 4.806036399958403874e-05
1.800000000000000000e+01 7.329943496205343963e-04 3.057323097155310870e-05
1.900000000000000000e+01 3.851066802468588101e-04 2.105367956733706470e-05
2.000000000000000000e+01 3.024901616094684688e-04 1.152636523244322477e-05
2.100000000000000000e+01 2.141856566477013388e-04 9.784996462422314105e-06
2.200000000000000000e+01 1.541605356497276723e-04 4.660295148310182469e-06
2.300000000000000000e+01 1.127840030866130062e-04 4.334030233089768773e-06
2.400000000000000000e+01 8.233266530216487838e-05 3.044418533688679945e-06
2.500000000000000000e+01 5.179416931109223144e-05 1.745826507784556212e-06
2.600000000000000000e+01 4.763018036691424442e-05 1.247764263185960793e-06
2.700000000000000000e+01 2.726780226273202789e-05 1.086891601104911857e-06
2.800000000000000000e+01 1.927162678073288807e-05 6.469921926558457087e-07
2.900000000000000000e+01 1.393690251907528244e-05 5.069702072436553826e-07
3.000000000000000000e+01 1.142434313235737952e-05 3.450096275998985520e-07
3.100000000000000000e+01 9.602266484766425401e-06 2.873564941256868129e-07
3.200000000000000000e+01 7.514980757918446735e-06 2.095693743243064382e-07
3.300000000000000000e+01 6.752562535673714430e-06 1.727221935534291610e-07
3.400000000000000000e+01 4.089598641163167589e-06 1.136969378274919753e-07
